Dataset id,SDG,pMSE,pMSE_time,Quality,Original dataset
SD0Q1000_0,SD0Q1000,0.016807370798812588,0.2195039000000012,Q1000,D0
SD0Q1000_1,SD0Q1000,0.013493135043738159,0.18768869999999893,Q1000,D0
SD0Q1000_2,SD0Q1000,0.019724845756748932,0.20196900000000007,Q1000,D0
SD0Q1000_3,SD0Q1000,0.016474607040395644,0.1771509000000009,Q1000,D0
SD0Q1000_4,SD0Q1000,0.021111826069442556,0.18401370000000128,Q1000,D0
SD0Q1000_5,SD0Q1000,0.015975050060902996,0.17225549999999856,Q1000,D0
SD0Q1000_6,SD0Q1000,0.01874827545766775,0.17776059999999916,Q1000,D0
SD0Q1000_7,SD0Q1000,0.019067272565801586,0.13412160000000029,Q1000,D0
SD0Q1000_8,SD0Q1000,0.014075041808510408,0.13611790000000035,Q1000,D0
SD0Q1000_9,SD0Q1000,0.013388374015998163,0.1303806999999999,Q1000,D0
SD0Q100_0,SD0Q100,0.11146931553180983,0.1494029999999995,Q100,D0
SD0Q100_1,SD0Q100,0.10481527898722119,0.13870830000000112,Q100,D0
SD0Q100_2,SD0Q100,0.12307189265130912,0.12445119999999932,Q100,D0
SD0Q100_3,SD0Q100,0.10678106357646734,0.13175320000000035,Q100,D0
SD0Q100_4,SD0Q100,0.10879699746186099,0.1302424000000002,Q100,D0
SD0Q100_5,SD0Q100,0.10883630923406967,0.1290603000000008,Q100,D0
SD0Q100_6,SD0Q100,0.11185884077321133,0.131826199999999,Q100,D0
SD0Q100_7,SD0Q100,0.10949458244757526,0.12410030000000027,Q100,D0
SD0Q100_8,SD0Q100,0.1131810902682684,0.13840029999999892,Q100,D0
SD0Q100_9,SD0Q100,0.11820352815947333,0.12581360000000075,Q100,D0
SD0Q10_0,SD0Q10,0.09329185651775253,0.13650499999999965,Q10,D0
SD0Q10_1,SD0Q10,0.09698626517579105,0.1361340999999996,Q10,D0
SD0Q10_2,SD0Q10,0.0833852518457935,0.13140109999999972,Q10,D0
SD0Q10_3,SD0Q10,0.08091816701865412,0.12594049999999868,Q10,D0
SD0Q10_4,SD0Q10,0.09160545487287446,0.13749430000000018,Q10,D0
SD0Q10_5,SD0Q10,0.0933472927496593,0.13271680000000075,Q10,D0
SD0Q10_6,SD0Q10,0.0821916813968407,0.14840079999999922,Q10,D0
SD0Q10_7,SD0Q10,0.08882785845527577,0.14240470000000016,Q10,D0
SD0Q10_8,SD0Q10,0.0871698117503947,0.1395692000000004,Q10,D0
SD0Q10_9,SD0Q10,0.08772038590377684,0.13106759999999973,Q10,D0
SD0Q1500_0,SD0Q1500,0.01628459456040916,0.11007730000000038,Q1500,D0
SD0Q1500_1,SD0Q1500,0.012847914800388015,0.10321630000000148,Q1500,D0
SD0Q1500_2,SD0Q1500,0.015961307353028725,0.12651310000000038,Q1500,D0
SD0Q1500_3,SD0Q1500,0.013905281131902257,0.10807979999999873,Q1500,D0
SD0Q1500_4,SD0Q1500,0.021243981804981424,0.10326599999999964,Q1500,D0
SD0Q1500_5,SD0Q1500,0.014061061342439646,0.10941910000000021,Q1500,D0
SD0Q1500_6,SD0Q1500,0.01515825453655826,0.09695060000000133,Q1500,D0
SD0Q1500_7,SD0Q1500,0.016901498416692223,0.10968850000000074,Q1500,D0
SD0Q1500_8,SD0Q1500,0.012764221000829357,0.10759690000000077,Q1500,D0
SD0Q1500_9,SD0Q1500,0.014626399579356936,0.10958420000000046,Q1500,D0
SD0Q500_0,SD0Q500,0.03569851357761858,0.10178650000000111,Q500,D0
SD0Q500_1,SD0Q500,0.033224530426984394,0.10053760000000089,Q500,D0
SD0Q500_2,SD0Q500,0.029243090975157062,0.10031579999999884,Q500,D0
SD0Q500_3,SD0Q500,0.04511723662359685,0.09971040000000109,Q500,D0
SD0Q500_4,SD0Q500,0.03852095071497461,0.10068739999999998,Q500,D0
SD0Q500_5,SD0Q500,0.03145727786817871,0.10610259999999982,Q500,D0
SD0Q500_6,SD0Q500,0.03312973449030116,0.1083677999999999,Q500,D0
SD0Q500_7,SD0Q500,0.03584312157596237,0.09989649999999983,Q500,D0
SD0Q500_8,SD0Q500,0.03522322830171716,0.1019036999999976,Q500,D0
SD0Q500_9,SD0Q500,0.03355341679430145,0.10031210000000002,Q500,D0
SD1Q1000_0,SD1Q1000,0.01658475087961284,0.3609061000000011,Q1000,D1
SD1Q1000_1,SD1Q1000,0.014383269279562395,0.37320700000000073,Q1000,D1
SD1Q1000_2,SD1Q1000,0.014616807298879252,0.37707669999999993,Q1000,D1
SD1Q1000_3,SD1Q1000,0.015790316233452086,0.36435570000000084,Q1000,D1
SD1Q1000_4,SD1Q1000,0.0157844699111218,0.42697279999999793,Q1000,D1
SD1Q1000_5,SD1Q1000,0.014709430606412196,0.3776672999999988,Q1000,D1
SD1Q1000_6,SD1Q1000,0.01825424679198296,0.37117100000000036,Q1000,D1
SD1Q1000_7,SD1Q1000,0.016843990892693488,0.3667829999999981,Q1000,D1
SD1Q1000_8,SD1Q1000,0.020278996637650537,0.3217213999999977,Q1000,D1
SD1Q1000_9,SD1Q1000,0.011795250195484507,0.36651310000000237,Q1000,D1
SD1Q100_0,SD1Q100,0.024562580974494114,0.3558037000000027,Q100,D1
SD1Q100_1,SD1Q100,0.025706749288043756,0.325959000000001,Q100,D1
SD1Q100_2,SD1Q100,0.029741379228091433,0.3439064000000016,Q100,D1
SD1Q100_3,SD1Q100,0.018443929303451685,0.36580769999999774,Q100,D1
SD1Q100_4,SD1Q100,0.022641136652827274,0.3854976999999984,Q100,D1
SD1Q100_5,SD1Q100,0.028393054697890895,0.35593860000000177,Q100,D1
SD1Q100_6,SD1Q100,0.02787279945914113,0.3338456000000001,Q100,D1
SD1Q100_7,SD1Q100,0.02810102747625954,0.3746533000000021,Q100,D1
SD1Q100_8,SD1Q100,0.021935266944939618,0.3709251000000009,Q100,D1
SD1Q100_9,SD1Q100,0.024065838182722624,0.36485950000000145,Q100,D1
SD1Q10_0,SD1Q10,0.16740844742081906,0.2542207000000012,Q10,D1
SD1Q10_1,SD1Q10,0.1652550937367913,0.2611744999999992,Q10,D1
SD1Q10_2,SD1Q10,0.17032774346808252,0.2720767999999971,Q10,D1
